t,u,y
29.64000000,2.07637906,591.42864990
29.66000000,2.07637906,578.57147217
29.68000000,2.07637906,572.14288330
29.70000000,2.07637906,565.71429443
29.72000000,2.07637906,565.71429443
29.74000000,2.07637906,559.28576660
29.76000000,2.07637906,559.28576660
29.78000000,2.07637906,552.85717773
29.80000000,2.07637906,559.28576660
29.82000000,2.07637906,552.85717773
29.84000000,2.07637906,552.85717773
29.86000000,2.07637906,546.42858887
29.88000000,2.07637906,552.85717773
29.90000000,2.07637906,546.42858887
29.92000000,2.07637906,552.85717773
29.94000000,2.07637906,552.85717773
29.96000000,2.07637906,546.42858887
29.98000000,2.07637906,552.85717773
30.00000000,2.07637906,546.42858887
30.02000000,2.07637906,552.85717773
30.04000000,2.07637906,552.85717773
30.06000000,2.07637906,546.42858887
30.08000000,2.89896154,552.85717773
30.10000000,2.89896154,552.85717773
30.12000000,2.89896154,572.14288330
30.14000000,2.89896154,578.57147217
30.16000000,2.89896154,591.42864990
30.18000000,2.89896154,597.85717773
30.20000000,2.89896154,597.85717773
30.22000000,2.89896154,597.85717773
30.24000000,2.89896154,604.28576660
30.26000000,2.89896154,597.85717773
30.28000000,2.89896154,597.85717773
30.30000000,2.89896154,604.28576660
30.32000000,2.89896154,604.28576660
30.34000000,2.89896154,604.28576660
30.36000000,2.89896154,604.28576660
30.38000000,2.89896154,597.85717773
30.40000000,2.07637906,604.28576660
30.42000000,2.07637906,604.28576660
30.44000000,2.07637906,591.42864990
30.46000000,2.07637906,578.57147217
30.48000000,2.07637906,572.14288330
30.50000000,2.07637906,565.71429443
30.52000000,2.07637906,565.71429443
30.54000000,2.07637906,559.28576660
30.56000000,2.89896154,552.85717773
30.58000000,2.89896154,559.28576660
30.60000000,2.89896154,572.14288330
30.62000000,2.89896154,585.00006104
30.64000000,2.89896154,591.42864990
30.66000000,2.89896154,591.42864990
30.68000000,2.89896154,597.85717773
30.70000000,2.89896154,604.28576660
30.72000000,2.89896154,597.85717773
30.74000000,2.89896154,597.85717773
30.76000000,2.89896154,604.28576660
30.78000000,2.89896154,604.28576660
30.80000000,2.89896154,604.28576660
30.82000000,2.89896154,597.85717773
30.84000000,2.89896154,604.28576660
30.86000000,2.89896154,604.28576660
30.88000000,2.07637906,597.85717773
30.90000000,2.07637906,604.28576660
30.92000000,2.07637906,585.00006104
30.94000000,2.07637906,585.00006104
30.96000000,2.07637906,572.14288330
30.98000000,2.07637906,565.71429443
31.00000000,2.07637906,565.71429443
31.02000000,2.07637906,552.85717773
31.04000000,2.07637906,552.85717773
31.06000000,2.07637906,546.42858887
31.08000000,2.07637906,546.42858887
31.10000000,2.07637906,552.85717773
31.12000000,2.07637906,552.85717773
31.14000000,2.07637906,546.42858887
31.16000000,2.07637906,552.85717773
31.18000000,2.07637906,546.42858887
31.20000000,2.89896154,552.85717773
31.22000000,2.89896154,552.85717773
31.24000000,2.89896154,565.71429443
31.26000000,2.89896154,578.57147217
31.28000000,2.89896154,591.42864990
31.30000000,2.89896154,591.42864990
31.32000000,2.89896154,597.85717773
31.34000000,2.89896154,597.85717773
31.36000000,2.07637906,597.85717773
31.38000000,2.07637906,597.85717773
31.40000000,2.07637906,585.00006104
31.42000000,2.07637906,572.14288330
31.44000000,2.07637906,572.14288330
31.46000000,2.07637906,565.71429443
31.48000000,2.07637906,559.28576660
31.50000000,2.07637906,559.28576660
31.52000000,2.07637906,552.85717773
31.54000000,2.07637906,552.85717773
31.56000000,2.07637906,552.85717773
31.58000000,2.07637906,552.85717773
31.60000000,2.07637906,546.42858887
31.62000000,2.07637906,546.42858887
31.64000000,2.07637906,546.42858887
31.66000000,2.07637906,552.85717773
31.68000000,2.07637906,546.42858887
31.70000000,2.07637906,546.42858887
31.72000000,2.07637906,552.85717773
31.74000000,2.07637906,546.42858887
31.76000000,2.07637906,546.42858887
31.78000000,2.07637906,552.85717773
31.80000000,2.07637906,546.42858887
31.82000000,2.07637906,552.85717773
31.84000000,2.89896154,546.42858887
31.86000000,2.89896154,552.85717773
31.88000000,2.89896154,572.14288330
31.90000000,2.89896154,578.57147217
31.92000000,2.89896154,591.42864990
31.94000000,2.89896154,591.42864990
31.96000000,2.89896154,597.85717773
31.98000000,2.89896154,604.28576660
32.00000000,2.07637906,597.85717773
32.02000000,2.07637906,597.85717773
32.04000000,2.07637906,591.42864990
32.06000000,2.07637906,572.14288330
32.08000000,2.07637906,565.71429443
32.10000000,2.07637906,565.71429443
32.12000000,2.07637906,565.71429443
32.14000000,2.07637906,559.28576660
32.16000000,2.89896154,552.85717773
32.18000000,2.89896154,559.28576660
32.20000000,2.89896154,572.14288330
32.22000000,2.89896154,578.57147217
32.24000000,2.89896154,591.42864990
32.26000000,2.89896154,591.42864990
32.28000000,2.89896154,597.85717773
32.30000000,2.89896154,597.85717773
32.32000000,2.07637906,597.85717773
32.34000000,2.07637906,604.28576660
32.36000000,2.07637906,585.00006104
32.38000000,2.07637906,578.57147217
32.40000000,2.07637906,572.14288330
